Img,Labelled Round 2,Labelled round 1,Person_num,Mask_on,Race,SkinColor,Sex,Is_Complicated,Remark,key,xmin,ymin,xmax,ymax,info,file
5961.jpg,,5961.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5961.jpg,110,400,298,583,Medical mask\Medical mask\annotations\5961.jpg.json,Medical mask\Medical mask\images\5961.jpg
5972.jpg,,5972.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5972.jpg,76,74,183,206,Medical mask\Medical mask\annotations\5972.jpg.json,Medical mask\Medical mask\images\5972.jpg
5527.jpg,,5527.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5527.jpg,294,53,378,170,Medical mask\Medical mask\annotations\5527.jpg.json,Medical mask\Medical mask\images\5527.jpg
5303.jpg,,5303.jpg,1.0,0.0,0.0,0.0,0.0,False,changed hispanic,5303.jpg,204,136,665,726,Medical mask\Medical mask\annotations\5303.jpg.json,Medical mask\Medical mask\images\5303.jpg
5519.jpg,,5519.jpg,1.0,0.0,0.0,1.0,0.0,False,changed hispanic,5519.jpg,293,69,393,191,Medical mask\Medical mask\annotations\5519.jpg.json,Medical mask\Medical mask\images\5519.jpg
5937.jpg,,5937.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5937.jpg,909,251,1159,538,Medical mask\Medical mask\annotations\5937.jpg.json,Medical mask\Medical mask\images\5937.jpg
4879.png,,4879.png,1.0,0.0,0.0,0.0,0.0,False,0,4879.png,127,6,415,319,Medical mask\Medical mask\annotations\4879.png.json,Medical mask\Medical mask\images\4879.png
4870.png,,4870.png,1.0,0.0,0.0,0.0,0.0,False,0,4870.png,222,46,288,130,Medical mask\Medical mask\annotations\4870.png.json,Medical mask\Medical mask\images\4870.png
5258.jpg,,5258.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5258.jpg,819,36,1214,558,Medical mask\Medical mask\annotations\5258.jpg.json,Medical mask\Medical mask\images\5258.jpg
2453.png,,2453.png,1.0,0.0,0.0,0.0,0.0,False,0,2453.png,190,27,413,311,Medical mask\Medical mask\annotations\2453.png.json,Medical mask\Medical mask\images\2453.png
5636.jpg,,5636.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5636.jpg,340,3,671,438,Medical mask\Medical mask\annotations\5636.jpg.json,Medical mask\Medical mask\images\5636.jpg
5274.jpg,,5274.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5274.jpg,122,14,806,908,Medical mask\Medical mask\annotations\5274.jpg.json,Medical mask\Medical mask\images\5274.jpg
6182.jpg,,6182.jpg,1.0,0.0,0.0,0.0,0.0,False,0,6182.jpg,709,271,871,475,Medical mask\Medical mask\annotations\6182.jpg.json,Medical mask\Medical mask\images\6182.jpg
5986.jpg,,5986.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5986.jpg,360,197,582,464,Medical mask\Medical mask\annotations\5986.jpg.json,Medical mask\Medical mask\images\5986.jpg
5694.jpg,,5694.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5694.jpg,151,103,303,291,Medical mask\Medical mask\annotations\5694.jpg.json,Medical mask\Medical mask\images\5694.jpg
6130.jpg,,6130.jpg,1.0,0.0,0.0,1.0,0.0,False,changed hispanic,6130.jpg,1094,16,1691,666,Medical mask\Medical mask\annotations\6130.jpg.json,Medical mask\Medical mask\images\6130.jpg
6186.jpg,,6186.jpg,1.0,0.0,0.0,0.0,0.0,False,0,6186.jpg,1278,103,2004,839,Medical mask\Medical mask\annotations\6186.jpg.json,Medical mask\Medical mask\images\6186.jpg
2443.png,,2443.png,1.0,0.0,0.0,0.0,0.0,False,0,2443.png,94,2,412,308,Medical mask\Medical mask\annotations\2443.png.json,Medical mask\Medical mask\images\2443.png
5269.jpg,,5269.jpg,1.0,0.0,0.0,1.0,0.0,False,0,5269.jpg,263,108,370,224,Medical mask\Medical mask\annotations\5269.jpg.json,Medical mask\Medical mask\images\5269.jpg
3598.png,,3598.png,1.0,0.0,0.0,0.0,0.0,False,0,3598.png,241,4,401,181,Medical mask\Medical mask\annotations\3598.png.json,Medical mask\Medical mask\images\3598.png
2376.png,,2376.png,1.0,0.0,0.0,0.0,0.0,False,0,2376.png,227,2,438,173,Medical mask\Medical mask\annotations\2376.png.json,Medical mask\Medical mask\images\2376.png
2952.png,,2952.png,1.0,0.0,0.0,0.0,0.0,False,0,2952.png,170,13,285,177,Medical mask\Medical mask\annotations\2952.png.json,Medical mask\Medical mask\images\2952.png
5607.jpg,,5607.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5607.jpg,294,44,633,502,Medical mask\Medical mask\annotations\5607.jpg.json,Medical mask\Medical mask\images\5607.jpg
2101.jpg,,2101.jpg,1.0,0.0,0.0,0.0,0.0,False,0,2101.jpg,556,259,655,407,Medical mask\Medical mask\annotations\2101.jpg.json,Medical mask\Medical mask\images\2101.jpg
5378.jpg,,5378.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5378.jpg,427,88,599,300,Medical mask\Medical mask\annotations\5378.jpg.json,Medical mask\Medical mask\images\5378.jpg
